# THERMINATOR 2 Log File
[2021-12-03 18:56:20]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 18:58:01]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 18:58:15]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 18:58:33]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 18:58:39]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 18:58:48]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 18:58:54]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 18:59:00]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-03 18:59:19]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 18:59:28]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 19:12:02]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 19:12:15]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 19:12:34]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 19:12:40]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 19:12:49]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 19:12:55]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 19:13:01]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
